state_fips,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
2,0,0,0,0,0,2291,0
1,6706.5,134.3,148.7,13758.5,26396.7,716.4,2372.7
5,6580,4592.7,291,10084,703.3,0,1132.4
4,1455.5,1877.7,0,5358,0,1322.4,0
6,16169.6,18772.4,15106,3445.4,0,97669.8,0
8,6966.7,2035.8,102.4,29572.1,0,7047.5,275.7
9,13,616.8,41,817.7,5873.1,0,3070.9
11,0,0,0,0,0,0,0
10,867.4,22.8,12.3,228.2,1010.3,0,911.2
12,1492.8,1646.3,13570.9,5248.6,361919.5,299.3,3919.2
13,8095.3,1371,1282.8,11976.9,19174.3,288.5,2764.9
15,0,0,0,0,6758,5555,0
19,15228.5,23886.2,75.7,21448.6,0,0,230
16,3448,571.7,12.3,0,0,3470.2,0
17,17017.3,9769,421,24099.8,1014.8,0,2337.7
18,8591.3,5400,228.6,13932.5,1034.5,0,779.1
20,24364,3574,171.4,12254.3,0,0,155.4
21,7710,941.6,249.2,15308.4,1289.7,0,1548.4
22,5465.4,21027.7,204.8,11742.6,263338.7,0,2257.5
25,19.5,1083.9,49.1,728.2,3598.3,0,5103
24,3311.5,267,32.8,3414.1,6289.1,0,3040.5
23,13,405.6,0,202.2,139.8,0,1584.3
26,3219,3509,49.1,6091.9,0,0,584.9
27,9274.5,5652.2,53.2,23135.3,0,98.2,220.7
29,11822.2,15895.2,639.6,24778.1,495.3,0,812.6
28,8547.8,3665.4,126.4,6522.2,60438.6,42.1,4609.1
30,13013.6,349,12.3,1189.4,0,3390.1,0
37,10224.9,65.4,305,7765.2,66989.2,88.5,2371.2
38,23003.5,9524.5,12.3,395.3,0,12.9,37.8
31,16318.9,5109.1,84.8,13802.8,0,56.9,41.2
33,13,45.5,0,160,452.5,0,1588.8
34,491,1151.2,49.1,3635.9,52083.9,0,5517.9
35,3158.8,0,0,1035.9,298.2,2669.1,0
32,434.6,1061.5,0,61.5,0,1217.1,44.5
36,617.5,2214,69.6,3814.5,67039.1,0,7696.8
39,6253,1357.2,407.6,17136.4,3283.4,0,1749.7
40,12402.8,2534.7,613.9,25335.8,0,339.8,1040.4
41,4270.1,1614.5,135.1,104.8,0,5767,510.9
42,2461.9,1244,102.4,8670.5,11542.7,0,3848.4
72,0,0,0,0,123333.8,0,0
44,13,174,8.2,187.2,1323.6,0,1102.3
45,4234.4,2453.3,636.9,4625.2,23928.3,0,1523.4
46,13932.6,5408.2,24.6,2083.3,0,105.9,0
47,7136,3884.6,191.1,21927.1,1287.1,1792,2512.9
48,40081.3,14953.5,551.3,81813.5,235608.8,3084.8,25359.9
0,344675.9,194658.1,36410.4,453056.1,1379689.4,142736.9,98244.7
49,515.9,1570,12.3,28.1,0,1371.6,0
51,4631.5,2161.6,89.3,3696.7,10498.3,0,3038.4
78,0,0,0,0,20582.8,0,0
50,13,858.5,0,154,1148.1,0,1166.6
53,4405,1071.8,110.6,67.2,0,2963,302.9
55,5648.7,6352.9,49.1,8790,0,0,218.7
54,2268.2,2780.8,68.4,1020.6,815.6,0,861.8
56,2753.9,0,8.2,1407.6,0,1077.8,0
