"","state_fips","age","gender","college_degree","white_non_hisp","hispanic","votereg","pol_identity","news_engaged","citizen","urban_resident","rural_resident","investor","evangelical","married","union_member","home_owner","income_bucket","military_service","parent","heterosexual","noaa_cost_pc","cdc_svi_socioecon","cdc_svi_demo","cdc_svi_race","cdc_svi_housing","climate_change_worry"
"1","37",23,"Female","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Disengaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Other","Non-Military","Non-Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"0"
"2","47",70,"Female","No Degree","White","Non-Hispanic","Registered","Republican","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Evangelical","Married","Union","Owner","$30,000 - $59,999","Non-Military","Non-Parent","Heterosexual",0.00564630322019238,0.651971578947368,0.549409473684211,0.362956842105263,0.431967368421053,"1"
"3","06",74,"Male","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","Other","Military","Non-Parent","Heterosexual",0.00383124692864869,0.620815517241379,0.556781034482759,0.800763793103448,0.701403448275862,"1"
"4","04",68,"Female","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00141450951470102,0.75204,0.788126666666667,0.840153333333333,0.797093333333333,"1"
"5","37",61,"Female","Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Investor","Non-Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00847006980403823,0.712367,0.643493,0.657192,0.58817,"1"
"6","53",50,"Female","Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Parent","Heterosexual",0.00117107440316624,0.468507692307692,0.5441,0.587328205128205,0.5843,"1"
"7","36",60,"Female","No Degree","Non-White","Hispanic","Registered","Democrat","Disengaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Non-Union","Owner","Other","Non-Military","Non-Parent","Heterosexual",0.00404934290740449,0.400477419354839,0.321740322580645,0.449170967741935,0.6973,"1"
"8","26",21,"Female","No Degree","White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","Less than $30,000","Non-Military","Non-Parent","Heterosexual",0.00133703194589979,0.423030120481928,0.339973493975904,0.332143373493976,0.455825301204819,"1"
"9","24",65,"Male","Degree","White","Non-Hispanic","Registered","Republican","Disengaged","Citizen","Non-Urban","Non-Rural","Investor","Evangelical","Unmarried","Union","Non-Owner","$60,000 - $99,999","Non-Military","Non-Parent","Heterosexual",0.00265997890557847,0.3442625,0.4133125,0.6573875,0.454004166666667,"1"
"10","53",29,"Female","No Degree","Non-White","Non-Hispanic","Registered","Democrat","Engaged","Citizen","Non-Urban","Non-Rural","Non-Investor","Non-Evangelical","Married","Union","Owner","$60,000 - $99,999","Non-Military","Parent","Heterosexual",0.00117107440316624,0.468507692307692,0.5441,0.587328205128205,0.5843,"1"
